week_start,net_sales,cost_facebook_ads,cost_google_ads,cost_bing_ads,cost_pinterest_ads,cost_tiktok,cost_trade_desk,direct_sessions,organicsearch_sessions,email_sessions,referral_sessions
2024-07-01,384114.57,45299.05,12714.402358,850.639999,0,7004.61,0,23025,24955,25709,2736
2024-07-08,345191.38,41905.329998999994,10359.314245,807.409999,0,5538.3799990000007,0,21880,24688,17907,2585
2024-07-15,446511.71,49035.86,10686.87437,764.14999900000009,0,4970.1200000000008,11307.510920999997,22722,25478,33974,2654
2024-07-22,349709.08999999997,39697.739998000005,9794.746656,716.78999699999986,0,4852.4599990000006,9790.2961380000015,20241,23580,27072,2443
2024-07-29,380840.04,40182.889999,9817.2803130000011,635.649999,0,10000.749999999998,10647.218747999998,21728,27053,28110,2489
2024-08-05,397717.12,42349.130000000005,27169.778134,468.81999699999994,0,2370.9099979999996,12690.161891,21617,23760,19193,2266
2024-08-12,393778.39,38584.149999,13391.108814000001,754.049999,0,2338.32,11140.503725999999,21621,27576,16712,2221
2024-08-19,369386.89999999997,38406.76,6584.0082189999994,1366.319996,0,2437.19,10006.471228,23736,30334,10174,2302
2024-08-26,327534.48,40523.269999000004,6087.595751,1321.609997,0,2422.26,10028.511389,23045,30136,15463,2227
2024-09-02,388442.25,48064.589998999996,12476.810970999999,1347.589999,0,3351.459999,11737.031695000001,24737,29741,12616,2641
2024-09-09,384613.17000000004,53493.299999,16777.224323,1268.539998,0,4350.84,11648.207236,24180,28149,24254,2696
2024-09-16,499298.33,51862.500000000007,17395.813804,1323.299998,0,4755.2900000000009,11845.438129999999,26180,27047,41218,2876
2024-09-23,471512.93,49691.749999,16529.459563999997,1250.389998,0,4486.31,11937.944028999998,23747,24611,19125,2699
2024-09-30,500376.42,53019.22,28958.019071000002,854.509998,0,6582.0199999999995,1719.895858,26000,26444,26000,2881
2024-10-07,480456.99,67488.73,36043.619905,1195.619995,0,7169.6000000000013,0,27926,25809,18674,2863
2024-10-14,721473.76,92152.129999,34844.775626999995,1970.179994,0,9543.5699999999979,0,36350,31686,26876,3154
2024-10-21,552482.85,100997.55999799998,50089.25829,3311.7099909999997,0,11770.439999999999,0,36287,30182,18538,3171
2024-10-28,731020.35000000009,113817.73999799999,57734.187572,6040.669997,0,15584.750000000002,0,36983,35109,35393,3237
2024-11-04,861274.14999999991,111648.44,55911.788724,3465.3399950000003,0,12604.36,0,51140,38414,33168,3841
2024-11-11,1090114.57,117979.14,58125.003901000004,2818.6199970000002,0,9903.169999,0,47170,45493,33360,4071
2024-11-18,1074004.94,144022.97999999998,78657.946317000009,2933.769998,0,1869.54,0,59321,58123,31565,5032
2024-11-25,2530962.3299999996,209185.24,104255.434593,2891.409996,0,0,0,93609,107588,59197,6365
2024-12-02,2912060.55,227668.33999500002,140397.78995600002,3542.1199949999996,0,0,0,93374,94306,53266,6143
2024-12-09,3126578.61,168246.609998,172217.18845499997,3463.419996,0,0,0,86653,77065,36071,5781
2024-12-16,1489933.4600000002,48562.489999000005,30481.006575,870.579999,0,0,0,54521,62949,23007,3757
2024-12-23,647475.36999999988,36439.679997,27010.044209,0,0,0,0,42338,46280,18888,3221
2024-12-30,729578.29,46631.75,32896.420155,0,0,0,0,39240,41985,34036,3288
2025-01-06,717675.95,48275.79,42817.379149999993,1938.689997,0,0,0,40558,44173,17502,3578
2025-01-13,735201.45,56507.379999,41741.72262,2553.469996,0,0,0,39033,42039,33672,3561
2025-01-20,648247.95,57206.579999000009,41546.60822899999,3146.3999919999997,0,0,0,40384,42358,17846,5409
2025-01-27,596587.69,64291.89,25915.255004,1828.3099949999998,0,0,0,36366,34244,24657,13120
2025-02-03,582631.87,56985.999998999992,26537.736772,1105.309999,0,0,0,37312,33622,16035,10736
2025-02-10,511002.26999999996,57556.429996000006,32828.493604,1205.249997,1403.704108,1695.479998,0,40939,35666,18575,9053
2025-02-17,531550.45,60303.40999900001,35821.171522000004,1222.8899979999999,4293.6036810000005,1719.73,0,45099,37924,18539,4454
2025-02-24,563747.94,68349.339999,38969.033631,1221.2699949999999,4870.361756,3790.4100000000003,0,39820,30773,32249,3496
2025-03-03,508694.22000000009,63808.819999,21703.680531,1250.419998,2477.6757499999994,1699.1699999999998,0,38987,32871,18095,3302
2025-03-10,498759.06,41864.759999,20488.261714999997,1221.299999,1977.148579,2590.279998,0,38900,31786,17782,3411
2025-03-17,573902.10000000009,46892.659995999995,22881.794708,1149.8699960000001,1948.0430970000002,2776.84,0,38940,29963,17544,2332
2025-03-24,493015.58999999997,44141.639997,25772.20241,1079.179999,1966.3816930000003,2613.859998,1247.865342,35463,28883,14503,2107
2025-03-31,500928.82,38681.129998000004,22865.801923,1124.389998,3180.320064,5191.989998,8703.352201,38830,30603,20825,3176
2025-04-07,492382.07,37986.039999,21443.519415000002,1140.5199980000002,3512.0290330000003,5677.369998,8992.221884999999,33730,28894,22030,2490
2025-04-14,501299.02999999991,34353.389999,20046.973036,1367.7999950000003,3493.4938530000004,6000.519999,9079.408506,38111,28495,25640,2937
2025-04-21,537464.02,30585.299999,20117.701741999997,1152.949995,3500.936319,5020.5099969999992,9196.396062,34386,29345,20737,3247
2025-04-28,580841.72,28888.72,23744.21023,984.369998,3831.914132,6519.4,9386.961083,34209,29215,15080,3272
2025-05-05,569578.88,29761.559997,22198.349821000003,738.829998,4524.2581470000005,4993.33,9508.577165,31490,28809,34757,2983
2025-05-12,478459.64999999997,31824.219998,21419.622854,860.479999,4621.564366,4269.989999,9365.730319,34107,29397,15098,3206
2025-05-19,456431.74000000005,34974.639998,19470.152169,1555.419996,4612.539656,4163.7699999999995,9263.163248,36001,32835,28642,3519
2025-05-26,443154.32000000007,27508.429998999996,12901.580474,1367.8299969999998,3664.960695,2226.82,7262.469085,41829,33081,16834,2905
